Price,Manufacturer,Model,Horse Power,Mileage,Transmission,Fuel,Posting Month,Posting Year,Age,country_of_origin,price_per_km,price_per_horsepower
78000.0,HAVAL,H6,9.0,130000.0,Automatic,Essence,February,2024,5,China,0.6,8666.666666666666
79000.0,HAVAL,H6,9.0,106000.0,Automatic,Essence,February,2024,5,China,0.7452830188679245,8777.777777777777
101460.0,HAVAL,H6,9.0,61000.0,Automatic,Essence,February,2024,3,China,1.6632786885245903,11273.333333333334
85000.0,HAVAL,H6,9.0,79000.0,Automatic,Essence,February,2024,3,China,1.0759493670886076,9444.444444444445
76000.0,HAVAL,H6,9.0,53000.0,Automatic,Essence,February,2024,5,China,1.4339622641509433,8444.444444444445
65000.0,HAVAL,H6,9.0,100000.0,Automatic,Essence,February,2024,7,China,0.65,7222.222222222223
85000.0,HAVAL,H6 LUXURY,9.0,68800.0,Automatic,Essence,January,2024,5,China,1.2354651162790697,9444.444444444445
85000.0,HAVAL,H6,9.0,45000.0,Automatic,Essence,February,2024,4,China,1.8888888888888888,9444.444444444445
79000.0,HAVAL,H6,9.0,105000.0,Automatic,Essence,February,2024,5,China,0.7523809523809524,8777.777777777777
89500.0,HAVAL,JOLION,9.0,29000.0,Automatic,Essence,February,2024,1,China,3.086206896551724,9944.444444444445
64000.0,HAVAL,H6,9.0,100000.0,Manual,Essence,February,2024,7,China,0.64,7111.111111111111
91000.0,HAVAL,JOLION,9.0,27000.0,Automatic,Essence,February,2024,2,China,3.3703703703703702,10111.111111111111
66000.0,HAVAL,H2,9.0,65000.0,Automatic,Essence,February,2024,7,China,1.0153846153846153,7333.333333333333
95000.0,HAVAL,H6,12.0,90000.0,Automatic,Essence,February,2024,4,China,1.0555555555555556,7916.666666666667
85000.0,HAVAL,H6,9.0,66000.0,Automatic,Essence,February,2024,5,China,1.2878787878787878,9444.444444444445
86000.0,HAVAL,H6,9.0,50000.0,Automatic,Essence,February,2024,4,China,1.72,9555.555555555555
85000.0,HAVAL,H6,9.0,77000.0,Automatic,Essence,February,2024,3,China,1.103896103896104,9444.444444444445
65000.0,HAVAL,H6,9.0,82730.0,Automatic,Essence,January,2024,6,China,0.7856883838994319,7222.222222222223
92000.0,HAVAL,JOLION,9.0,21000.0,Automatic,Essence,February,2024,2,China,4.380952380952381,10222.222222222223
166500.0,CUPRA,FORMENTOR HIGHT-GRADE,11.0,31000.0,Automatic,Essence,February,2024,2,Spain,5.370967741935484,15136.363636363636
